#id;itemSlot;itemType;name;description;recipeMale;recipeFemale;prefabId;positionMale;positionFemale;rotationMale;rotationFemale;scaleMale;scaleFemale;stackable;tradable;stamina;strength;dexterity;intelect
1;HEAD;EQUIP;Bronze Helmet;A helmet made out of bronze.;HelmMalePack1Type1a_Recipe;HelmPack1Type1a_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
2;CHEST;EQUIP;Bronze Armor;An armor made out of bronze.;TorsoMalePack1Type1a_Recipe;TorsoPack1Type1a_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
3;HANDS;EQUIP;Bronze Gloves;Gloves made out of bronze.;GlovesMalePack1Type1a_Recipe;GlovesPack1Type1a_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
4;LEGS;EQUIP;Bronze Leggings;Leggings made out of bronze.;LegsMalePack1Type1a_Recipe;LegsPack1Type1a_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
5;FEET;EQUIP;Bronze Boots;Boots made out of bronze.;BootsMalePack1Type1a_Recipe;BootsPack1Type1a_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
6;HEAD;EQUIP;Scarlet Helmet;A helmet made out of bronze.;HelmMalePack1Type1b_Recipe;HelmPack1Type1b_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
7;CHEST;EQUIP;Scarlet Armor;An armor made out of bronze.;TorsoMalePack1Type1b_Recipe;TorsoPack1Type1b_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
8;HANDS;EQUIP;Scarlet Gloves;Gloves made out of bronze.;GlovesMalePack1Type1b_Recipe;GlovesPack1Type1b_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
9;LEGS;EQUIP;Scarlet Leggings;Leggings made out of bronze.;LegsMalePack1Type1b_Recipe;LegsPack1Type1b_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
10;FEET;EQUIP;Scarlet Boots;Boots made out of bronze.;BootsMalePack1Type1b_Recipe;BootsPack1Type1b_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
11;HEAD;EQUIP;Refined Iron Helmet;A helmet made out of iron.;HelmMalePack1Type2a_Recipe;HelmPack1Type2a_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
12;CHEST;EQUIP;Refined Iron Armor;An armor made out of iron.;TorsoMalePack1Type2a_Recipe;TorsoPack1Type2a_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
13;HANDS;EQUIP;Refined Iron Gloves;Gloves made out of iron.;GlovesMalePack1Type2a_Recipe;GlovesPack1Type2a_Recipe;-1;0,0,0;0,0,0;0,0,0;0,0,0;1,1,1;1,1,1;FALSE;FALSE;0;0;0;0
